Title,Director,Cast,Year,Language,url,Producer,Genre,production,music,ref
Sati Sulochana,Y. V. Rao,"R. Nagendra Rao, Tripuramba, Subbaiah Naidu, Lakshmi Bai, C. T. Sheshachalam",1934,Kannada,https://en.wikipedia.org/wiki/List_of_Kannada_films_of_the_1930s,Chamanlal Doongaji,,,R. Nagendra Rao H. R. Padmanabha Shastry,
Bhakta Dhruva,Parshwanatha Altekar,"Master Muthu, G. Nagesha Rao, T. Kanakalakshmamma, H. S. Krishnaswamy Iyengar",1934,Kannada,https://en.wikipedia.org/wiki/List_of_Kannada_films_of_the_1930s,U. L. Narayana Rao,,,Harmonium Sheshagirirao,
Sadaarame,Raja Chandrashekar,"Gubbi Veeranna, K.Ashwathamma, Muraaraachaar, Shakunthala, Swaranamma",1935,Kannada,https://en.wikipedia.org/wiki/List_of_Kannada_films_of_the_1930s,Gubbi Veeranna,,,Venkataramaiah (Papanna),
Samsara Nauka,H. L. N. Simha,"B. R. Panthulu, M. V. Rajamma, S. K. Padma Devi, M. S. Madhava Rao, Dikki Madhava Rao",1936,Kannada,https://en.wikipedia.org/wiki/List_of_Kannada_films_of_the_1930s,K. Nanjappa,,,M. Madhavarao,
Chiranjeevi,K. P. Bhave,"Devudu Narasimha Sastri, Sharada, Master Narayan, Malavalli Sundaramma, Basavaraju Mansoor, R. S. Murthy, Amirbai Karnataki",1936,Kannada,https://en.wikipedia.org/wiki/List_of_Kannada_films_of_the_1930s,,,,Harmonium Sheshagirirao,
Purandaradasa,B. Chawan,"G. Krishnaswamy Iyengar, Tripuraamba, J. T. Balakrishnarao,",1937,Kannada,https://en.wikipedia.org/wiki/List_of_Kannada_films_of_the_1930s,,,,,
Rajasuya Yaaga,T.Dwarakanath,"S. R. Vasudevarao, T. K. Ramamurhty, K. R. Seetharam, T. Jayamma, T. Chandrashekar, Saroja",1937,Kannada,https://en.wikipedia.org/wiki/List_of_Kannada_films_of_the_1930s,,,,Padmanabha Shashtri,
Subhadra [1],,"Gubbi Veeranna, Honnappa Bhagavathar, B. Jayamma, Vasudeva Girimaji, B. Raghavendra Rao",1941,Kannada,https://en.wikipedia.org/wiki/List_of_Kannada_films_of_the_1940s,,,"Veeranna, Aacharya",,
Vasantasena [2],,"Lakshmi Bai, Subbaiah Naidu, R. Nagendra Rao, Kamala Bai, P. Kalinga Rao, Padma Devi",1941,Kannada,https://en.wikipedia.org/wiki/List_of_Kannada_films_of_the_1940s,,,Pragathi Pictures,,
Bhakta Prahalada [3],,"M. V. Rajamma, Chandramma, A.N. Sheshachar",1942,Kannada,https://en.wikipedia.org/wiki/List_of_Kannada_films_of_the_1940s,,,Kalaivani Films,,
Jeevana Nataka [4],,"Gubbi Veeranna, Kemparaj Urs, B. Jayamma, Shantha Hublikar",1942,Kannada,https://en.wikipedia.org/wiki/List_of_Kannada_films_of_the_1940s,,,Gubbi & C S Films,,
Satya Harishchandra [5][6],,"Subbaiah Naidu, R. Nagendra Rao, Lakshmibai, J. V. Krishnamurthy Rao, M. G. Marirao",1943,Kannada,https://en.wikipedia.org/wiki/List_of_Kannada_films_of_the_1940s,,,Saraswathi Cine Film Laboratory Ltd SSS Nataka Mandali,,
Krishna Sudhaama [7],,"Bellave Narahari Sastry, S. D. Subbulakshmi",1943,Kannada,https://en.wikipedia.org/wiki/List_of_Kannada_films_of_the_1940s,,,Kalaivani Films,,
Vani [8],,"Tirumakudalu Chowdiah, Bellary Lalitha, Pandari Bai, Bellary Rathnamala, Musuri Krishnamurthy, K. V. Achutharao, K. Hirannaiah",1944,Kannada,https://en.wikipedia.org/wiki/List_of_Kannada_films_of_the_1940s,,,HRGC Sri Pictures,,
Radha Ramana [9],,"B. R. Panthulu, M. V. Rajamma, G. V. Iyer, Balakrishna, Bhanumathi, Srinivasarao",1944,Kannada,https://en.wikipedia.org/wiki/List_of_Kannada_films_of_the_1940s,,,Sri Vijaya Films,,
