Title,Director,Cast,Year,Language,url,Producer,Genre,production,music,release,ref
Kalidas,H. M. Reddy,"T. P. Rajalakshmi, P. G. Venkatesan, L. V. Prasad",1931,Tamil,https://en.wikipedia.org/wiki/List_of_Tamil_films_of_the_1930s,,,Ardeshir Irani,Madhurakavi Bhaskara Das,,
Harichandra (Sampoorna Harichandra),"Sarvottam Badami, T. C. Vadivelu Naicker","V. S Sunderasa Iyer, D. R. Muthulakshmi, T. P. Rajalakshmi",1932,Tamil,https://en.wikipedia.org/wiki/List_of_Tamil_films_of_the_1930s,,,Sagar Film Company Chimanlal Desai,Raja Chandrasekar,,
Kalava (Galavarishi),P. B. Rangachari,"P. B. Rangachari, V. S. Sunderasa Iyer, T. R. Muthulakshmi",1932,Tamil,https://en.wikipedia.org/wiki/List_of_Tamil_films_of_the_1930s,,,Sagar Film Company,G. Sundara Bhagavathar,,
Paarijaatha Pushpaha ragam,P. K. Raja Sandow,"R. Nagendra Rao, K. T. Rukmani, Leela, Narasmimma Rao",1932,Tamil,https://en.wikipedia.org/wiki/List_of_Tamil_films_of_the_1930s,,,Imperial Film Company,,,
Ramayanam,,"T. P. Rajalakshmi, T. S. Mani",1932,Tamil,https://en.wikipedia.org/wiki/List_of_Tamil_films_of_the_1930s,,,East India Film Company,,,
Kovalan,,"R. Nagendra Rao, T. P. Rajalakshmi, K. T. Rukmani, Leela",1933,Tamil,https://en.wikipedia.org/wiki/List_of_Tamil_films_of_the_1930s,,,Imperial Films,,,
Nanthanar,,"Subbaiah Thevar, Angamuthu",1933,Tamil,https://en.wikipedia.org/wiki/List_of_Tamil_films_of_the_1930s,,,New Theatres,,,
Prahalada_(film),,,1933,Tamil,https://en.wikipedia.org/wiki/List_of_Tamil_films_of_the_1930s,,,"New Theatres, East India Company",,,
Satyavan_Savithri,,"M. R. Krishnamurthi, T. S. Mani, T. P. Rajalakshmi",1933,Tamil,https://en.wikipedia.org/wiki/List_of_Tamil_films_of_the_1930s,,,,,,
Valli,P.V. Rao,"T. S. Santhanam, Pankajam",1933,Tamil,https://en.wikipedia.org/wiki/List_of_Tamil_films_of_the_1930s,,,National Movietone,,,
