alias,canonical
aamir,Aamir Khan
mr perfectionist,Aamir Khan
ajith,Ajith Kumar
Ajith Kumar,Ajith Kumar
thala,Ajith Kumar
ajth kumar,Ajith Kumar
AjithKumar,Ajith Kumar
ajith kumar,Ajith Kumar
ANR,Akkineni Nageswara Rao
anr,Akkineni Nageswara Rao
khiladi,Akshay Kumar
akshay,Akshay Kumar
alia,Alia Bhatt
icon star,Allu Arjun
allu arj,Allu Arjun
stylish star,Allu Arjun
bunny,Allu Arjun
allu a,Allu Arjun
ambareesh,Ambarish
amit ji,Amitabh Bachchan
amitab bachhan,Amitabh Bachchan
amitabachan,Amitabh Bachchan
big b,Amitabh Bachchan
ananya,Ananya Panday
anil,Anil Kapoor
anushka,Anushka Sharma
arjit,Arjit Taneja
arjun k,Arjun Kapoor
arjun,Arjun Sarja
arya,Arya
Nandamuri Balakrishna,Balakrishna Nandamuri
NBK,Balakrishna Nandamuri
Balakrishna,Balakrishna Nandamuri
Balayya,Balakrishna Nandamuri
legend,Balakrishna Nandamuri
Nandamuri Balayya,Balakrishna Nandamuri
bobby,Bobby Deol
brahmi,Brahmanandam
Megastar Chiru,Chiranjeevi
megastar,Chiranjeevi
chiru,Chiranjeevi
challenging star,Darshan Thoogudeep
darshan,Darshan Thoogudeep
deepika,Deepika Padukone
dhanush,Dhanush
dhruva,Dhruva Sarja
Diganth,Diganth
Doodh Peda,Diganth
diljit,Diljit Dosanjh
disha,Disha Patani
Dr. Rajkumar,Dr. Rajkumar
Bangarada Manushya,Dr. Rajkumar
Annavru,Dr. Rajkumar
dq,Dulquer Salmaan
prince of mollywood,Dulquer Salmaan
fafa,Fahadh Faasil
golden star,Ganesh
Kadhal Mannan,Gemini Ganesan
Gemini Ganesan,Gemini Ganesan
gopi,Gopichand
greek god,Hrithik Roshan
hrithik,Hrithik Roshan
jackie,Jackie Shroff
Jai Shankar,Jai Shankar
South James Bond,Jai Shankar
Jayaram,Jayaram
Comedy King Jayaram,Jayaram
vijay,Joseph Vijay
thalapathy,Joseph Vijay
vijay anna,Joseph Vijay
vijay thalapathy,Joseph Vijay
thalapathi vijay,Joseph Vijay
ilayathalapathy,Joseph Vijay
kajal,Kajal Aggarwal
ulaganayagan,Kamal Haasan
kamal,Kamal Haasan
queen,Kangana Ranaut
kangna,Kangana Ranaut
kareena,Kareena Kapoor
bebo,Kareena Kapoor
Karthi,Karthi
Karthik Sivakumar,Karthi
kartik,Kartik Aaryan
katrina,Katrina Kaif
kriti,Kriti Sanon
kunjacko,Kunchacko Boban
Chackochan,Kunchacko Boban
M. G. Ramachandran,M. G. Ramachandran
MGR,M. G. Ramachandran
Puratchi Thalaivar,M. G. Ramachandran
madavan,R Madhavan
maddy,R Madhavan
Ghattamaneni Mahesh Babu,Mahesh Babu
Prince,Mahesh Babu
Prince Mahesh babu,Mahesh Babu
Mahesh Ghattamaneni,Mahesh Babu
Mahesh Babu,Mahesh Babu
Prince of Tollywood,Mahesh Babu
mahesh babu,Mahesh Babu
MaheshBabu,Mahesh Babu
prince,Mahesh Babu
mb,Mahesh Babu
mammukka,Mammootty
manju,Manju Warrier
lalettan,Mohanlal
ntr,N T Rama Rao Jr
NTR sr,N T Rama Rao Sr
N. T. Rama Rao Sr.,N T Rama Rao Sr
tarak,N T Rama Rao Jr
young tiger,N T Rama Rao Jr
ntr,N T Rama Rao Jr
jr ntr,N T Rama Rao Jr
nabha,Nabha Natesh
chaitu,Naga Chaitanya Akkineni
Naga Shaurya,Naga Shaurya
king nagarjuna,Nagarjuna Akkineni
nagarjuna,Nagarjuna Akkineni
natural star,Nani
nani,Nani
nawaz,Nawazuddin Siddiqui
lady superstar,Nayanthara
nayan,Nayanthara
nithiin,Nithiin
nivin,Nivin Pauly
powerstar,Pawan Kalyan
pk,Pawan Kalyan
pspk,Pawan Kalyan
pooja,Pooja Hegde
darling,Prabhas
prabhas,Prabhas
bahubali,Prabhas
prabhu,Prabhu
prabhudeva,Prabhu Deva
preity,Preity G Zinta
Prem Nazir,Prem Nazir
Evergreen Hero,Prem Nazir
prithvi,Prithviraj Sukumaran
priyanka,Priyanka Chopra Jonas
appu,Puneeth Rajkumar
power star,Puneeth Rajkumar
sarath,R. Sarathkumar
radhika,Radhika Kumaraswamy
raghav,Raghav Juyal
superstar,Rajinikanth
rajini,Rajinikanth
thalaivar,Rajinikanth
rakshit,Rakshit Shetty
ram charan tej,ram charan teja
ram charan teja,ram charan teja
charan,Ram Charan
rc,Ram Charan
ram,Ram Pothineni
Ramesh Aravind,Ramesh Aravind
rana,Rana Daggubati
ranbir,Ranbir Kapoor
ranveer,Ranveer Singh
rasha,Rasha Thadani
rashu,Rashmika Mandanna
national crush,Rashmika Mandanna
raveena,Raveena Tandon
ravi,Ravi Teja
mass maharaja,Ravi Teja
rishab,Rishab Shetty
sd tej,Sai Dharam Tej
saif,Saif Ali Khan
salman,Salman Khan
sallu,Salman Khan
bhaijaan,Salman Khan
